            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451748.500000000, A.D. 2000-Jul-23 00:00:00.0000, -1.762552489936165E+01,  1.741870100577879E+01, -7.715867080003165E+00, -1.147100061535671E-03,  2.128479122457402E-03, -6.640417366812327E-04,  1.498972199051494E-01,  2.595389908092835E+01,  2.404927279287178E-03,
2451749.500000000, A.D. 2000-Jul-24 00:00:00.0000, -1.762667185339836E+01,  1.742082933240376E+01, -7.716531056271463E+00, -1.146808021703135E-03,  2.128174134792606E-03, -6.639108042120867E-04,  1.499111083864986E-01,  2.595630379693009E+01,  2.404504735991820E-03,
2451750.500000000, A.D. 2000-Jul-25 00:00:00.0000, -1.762781851542471E+01,  1.742295735406248E+01, -7.717194901620228E+00, -1.146516040802621E-03,  2.127869189445272E-03, -6.637798976623977E-04,  1.499249944276436E-01,  2.595870809042360E+01,  2.404082262479043E-03,
2451751.500000000, A.D. 2000-Jul-26 00:00:00.0000, -1.762896488549951E+01,  1.742508507079567E+01, -7.717858616075536E+00, -1.146224118506878E-03,  2.127564283150978E-03, -6.636490173584434E-04,  1.499388780289813E-01,  2.596111196147754E+01,  2.403659856435556E-03,
2451752.500000000, A.D. 2000-Jul-27 00:00:00.0000, -1.763011096368095E+01,  1.742721248264061E+01, -7.718522199663830E+00, -1.145932253864190E-03,  2.127259412333861E-03, -6.635181637075982E-04,  1.499527591908930E-01,  2.596351541015799E+01,  2.403237514938801E-03,
2451753.500000000, A.D. 2000-Jul-28 00:00:00.0000, -1.763125675002593E+01,  1.742933958963093E+01, -7.719185652411993E+00, -1.145640445257837E-03,  2.126954573296374E-03, -6.633873371864973E-04,  1.499666379137420E-01,  2.596591843652780E+01,  2.402815234553316E-03,
2451754.500000000, A.D. 2000-Jul-29 00:00:00.0000, -1.763240224458939E+01,  1.743146639179659E+01, -7.719848974347422E+00, -1.145348690391502E-03,  2.126649762429240E-03, -6.632565383251702E-04,  1.499805141978701E-01,  2.596832104064620E+01,  2.402393011457104E-03,
2451755.500000000, A.D. 2000-Jul-30 00:00:00.0000, -1.763354744742364E+01,  1.743359288916407E+01, -7.720512165498051E+00, -1.145056986302582E-03,  2.126344976429427E-03, -6.631257676879623E-04,  1.499943880435967E-01,  2.597072322256845E+01,  2.401970841591414E-03,
2451756.500000000, A.D. 2000-Jul-31 00:00:00.0000, -1.763469235857773E+01,  1.743571908175680E+01, -7.721175225892397E+00, -1.144765329404329E-03,  2.126040212514046E-03, -6.629950258521425E-04,  1.500082594512173E-01,  2.597312498234574E+01,  2.401548720826689E-03,
2451757.500000000, A.D. 2000-Aug-01 00:00:00.0000, -1.763583697809681E+01,  1.743784496959576E+01, -7.721838155559546E+00, -1.144473715556682E-03,  2.125735468618764E-03, -6.628643133851467E-04,  1.500221284210038E-01,  2.597552632002513E+01,  2.401126645137224E-03,
2451758.500000000, A.D. 2000-Aug-02 00:00:00.0000, -1.763698130602166E+01,  1.743997055270031E+01, -7.722500954529137E+00, -1.144182140164628E-03,  2.125430743570357E-03, -6.627336308214065E-04,  1.500359949532054E-01,  2.597792723564979E+01,  2.400704610777053E-03,
2451759.500000000, A.D. 2000-Aug-03 00:00:00.0000, -1.763812534238831E+01,  1.744209583108912E+01, -7.723163622831318E+00, -1.143890598301677E-03,  2.125126037224576E-03, -6.626029786396824E-04,  1.500498590480511E-01,  2.598032772925935E+01,  2.400282614449749E-03,
2451760.500000000, A.D. 2000-Aug-04 00:00:00.0000, -1.763926908722774E+01,  1.744422080478131E+01, -7.723826160496680E+00, -1.143599084856359E-03,  2.124821350561305E-03, -6.624723572419277E-04,  1.500637207057525E-01,  2.598272780089046E+01,  2.399860653465640E-03,
