Name,Relative Ecuatorial Diameter,Relative Polar Diameter," Orbit semimajor axis [UA]",Inclination [Rad],Eccentricity," Orbit Rotation_X [Rad]"," Orbit Rotation_Y [Rad]",Mesh [dataset]
Mercury,,,"2.768",0.1222580452,0.20563593,"1.3518700794","0.84354677449",
Venus,,,"0.72333199",0.05924886665,0.00677323,"2.29568357595","1.3383305132",
Earth,,,"1.00000011",8.72664626e-7,0.01671022,"1.79676742117","-0.19653524388",
Mars,,,"1.52366231",0.03229923767,0.09341233,"5.86501907915","0.86530876133",
Jupiter,,,"5.20336301",0.0227817827,0.04839266,"0.25750325984","1.75503590062",
Saturn,,,"9.53707032",0.04336200713,0.05415060,"1.613241687","1.98470185703",
Uranus,,,"19.19126393",0.01343659178,0.04716771,"2.98388889116","1.2955558094",
Neptune,,,"30.06896348",0.03087784153,0.00858587,"0.78489812656","2.29897718679",
